#,P:nPeriodBreak,P:nATRExit,净利润,年化收益,盈利比率,平均利润,交易手数,最大资产回撤,TB系数,增长系数,收益风险比,R平方值,头寸系数,资产回撤计数,平均资产回撤,调整收益风险比,单日最大资产回撤比率%,最大资产回撤比率%,夏普比率,盈亏比,总盈利,总亏损,盈利手数,亏损手数,连续盈利手数,连续亏损手数,最大盈利,最大亏损,平均盈利,平均亏损,平均盈利周期,平均亏损周期,盈利因子
3578,55,1.4,51790.00,4140.93,41.18,435.21,119,-32400.00,4.50,0.1663,0.13,0.6415,115.02,5,-17226.00,0.24,0.01,0.06,0.3390,2.12,159530.00,-107740.00,49,70,4,6,23490.00,-10590.00,3255.71,-1539.14,18,7,1.48
3579,42,4.2,51780.00,4140.13,32.69,995.77,52,-48940.00,1.53,0.0664,0.08,0.0870,6.49,5,-25534.00,0.16,0.01,0.10,0.1990,2.96,170010.00,-118230.00,17,35,2,5,56670.00,-20310.00,10000.59,-3378.00,91,34,1.44
3580,64,2.7,51740.00,4136.93,46.97,783.94,66,-29060.00,3.29,0.1520,0.14,0.6315,135.74,5,-21378.00,0.19,0.01,0.06,0.2967,1.76,144390.00,-92650.00,31,35,4,5,16290.00,-8710.00,4657.74,-2647.14,39,16,1.56
3581,48,2.6,51650.00,4129.74,36.71,653.80,79,-29660.00,2.47,0.1256,0.14,0.4739,98.82,5,-21192.00,0.19,0.01,0.06,0.2567,2.48,168890.00,-117240.00,29,50,3,11,17690.00,-8710.00,5823.79,-2344.80,39,15,1.44
3582,54,4.9,51620.00,4127.34,38.24,1518.24,34,-63550.00,1.27,0.1481,0.06,0.4213,17.87,5,-17664.00,0.23,0.01,0.13,0.4050,2.40,158230.00,-106610.00,13,21,3,7,37290.00,-19610.00,12171.54,-5076.67,147,31,1.48
3583,60,3.3,51620.00,4127.34,42.31,992.69,52,-39070.00,2.64,0.1816,0.11,0.7979,93.00,5,-15468.00,0.27,0.01,0.08,0.3005,2.14,141960.00,-90340.00,22,30,4,5,31590.00,-10270.00,6452.73,-3011.33,58,25,1.57
3584,62,3.4,51590.00,4124.94,41.18,1011.57,51,-39070.00,2.67,0.1594,0.11,0.7675,89.27,5,-17754.00,0.23,0.01,0.08,0.2834,2.27,139670.00,-88080.00,21,30,4,4,31590.00,-10270.00,6650.95,-2936.00,62,26,1.59
3585,9,1.3,51530.00,4120.14,34.90,202.08,255,-44930.00,1.90,0.0523,0.09,0.0992,9.51,5,-19138.00,0.22,0.01,0.09,0.1763,2.24,311370.00,-259840.00,89,166,5,12,28170.00,-6510.00,3498.54,-1565.30,17,6,1.20
3586,18,2,51510.00,4118.54,41.48,381.56,135,-41390.00,2.18,0.1537,0.10,0.7572,83.25,5,-18852.00,0.22,0.01,0.08,0.2879,1.82,227260.00,-175750.00,56,79,5,6,16090.00,-9030.00,4058.21,-2224.68,29,10,1.29
3587,45,4.5,51470.00,4115.35,38.46,1319.74,39,-62770.00,1.47,0.1204,0.07,0.3503,15.39,5,-18386.00,0.22,0.01,0.13,0.3481,2.38,157470.00,-106000.00,15,24,3,4,37290.00,-19610.00,10498.00,-4416.67,128,33,1.49
3588,64,3.6,51420.00,4111.35,43.75,1071.25,48,-56630.00,2.11,0.1917,0.07,0.8681,47.67,5,-18386.00,0.22,0.01,0.11,0.3125,1.96,150190.00,-98770.00,21,27,3,4,28790.00,-16470.00,7151.90,-3658.15,66,27,1.52
3589,26,2.1,51410.00,4110.55,42.61,447.04,115,-45240.00,2.63,0.1562,0.09,0.7363,67.09,5,-17826.00,0.23,0.01,0.09,0.2681,1.83,195790.00,-144380.00,49,66,4,5,16090.00,-9350.00,3995.71,-2187.58,28,10,1.36
3590,52,3.4,51370.00,4107.35,42.11,901.23,57,-39070.00,2.42,0.1866,0.11,0.7480,87.39,5,-16574.00,0.25,0.01,0.08,0.2419,2.08,151360.00,-99990.00,24,33,4,5,31590.00,-10270.00,6306.67,-3030.00,60,25,1.51
3591,44,4.4,51280.00,4100.15,42.50,1282.00,40,-62770.00,1.57,0.1265,0.07,0.4246,18.63,5,-18738.00,0.22,0.01,0.13,0.3446,2.01,156210.00,-104930.00,17,23,3,4,25790.00,-19610.00,9188.82,-4562.17,117,31,1.49
3592,49,2.6,51250.00,4097.75,36.71,648.73,79,-30060.00,2.44,0.1238,0.14,0.4683,94.34,5,-21272.00,0.19,0.01,0.06,0.2540,2.48,168490.00,-117240.00,29,50,3,11,17690.00,-8710.00,5810.00,-2344.80,38,15,1.44
3593,50,3.4,51250.00,4097.75,42.11,899.12,57,-39070.00,2.38,0.1886,0.10,0.7513,87.57,5,-16630.00,0.25,0.01,0.08,0.2384,2.07,152000.00,-100750.00,24,33,4,5,31590.00,-10270.00,6333.33,-3053.03,61,26,1.51
3594,59,3.3,51220.00,4095.36,42.31,985.00,52,-39070.00,2.60,0.1798,0.10,0.7932,91.74,5,-15468.00,0.26,0.01,0.08,0.2978,2.14,141560.00,-90340.00,22,30,4,5,31590.00,-10270.00,6434.55,-3011.33,58,25,1.57
3595,38,2.6,51200.00,4093.76,38.10,609.52,84,-46190.00,2.26,0.1228,0.09,0.4608,39.42,5,-27580.00,0.15,0.01,0.09,0.1895,2.27,179260.00,-128060.00,32,52,3,8,24070.00,-13930.00,5601.88,-2462.69,39,15,1.40
3596,51,2.3,51200.00,4093.76,37.21,595.35,86,-32750.00,2.72,0.1302,0.13,0.3802,64.84,5,-22242.00,0.18,0.01,0.07,0.2170,2.43,166980.00,-115780.00,32,54,4,17,16490.00,-8650.00,5218.13,-2144.07,31,14,1.44
3597,60,3.5,51150.00,4089.76,40.82,1043.88,49,-56630.00,2.16,0.1953,0.07,0.8435,46.15,5,-18386.00,0.22,0.01,0.11,0.3269,2.22,147960.00,-96810.00,20,29,3,4,28790.00,-16470.00,7398.00,-3338.28,66,28,1.53
3598,42,2,51140.00,4088.96,43.14,501.37,102,-35860.00,2.87,0.1525,0.11,0.4304,61.76,5,-19784.00,0.21,0.01,0.07,0.1804,1.85,178680.00,-127540.00,44,58,4,7,16090.00,-13930.00,4060.91,-2198.97,27,11,1.40
3599,20,2.6,51050.00,4081.76,39.05,486.19,105,-34240.00,1.98,0.1036,0.12,0.5545,87.20,5,-25118.00,0.16,0.01,0.07,0.2362,2.07,208690.00,-157640.00,41,64,3,6,24630.00,-9030.00,5090.00,-2463.13,38,16,1.32
3600,35,1.2,51040.00,4080.96,39.76,307.47,166,-22300.00,3.87,0.1258,0.18,0.6476,245.33,5,-10704.00,0.38,0.01,0.04,0.3830,2.07,191180.00,-140140.00,66,100,5,8,23490.00,-5210.00,2896.67,-1401.40,15,5,1.36
3601,58,3.3,51030.00,4080.16,41.51,962.83,53,-39070.00,2.61,0.1790,0.10,0.7915,91.33,5,-15506.00,0.26,0.01,0.08,0.2946,2.20,141560.00,-90530.00,22,31,4,5,31590.00,-10270.00,6434.55,-2920.32,58,25,1.56
3602,28,4.5,51020.00,4079.36,35.42,1062.92,48,-64720.00,1.61,0.0522,0.06,0.0374,1.56,5,-25726.00,0.16,0.01,0.13,0.2983,2.67,160970.00,-109950.00,17,31,4,7,43830.00,-15670.00,9468.82,-3546.77,114,32,1.46
3603,47,7,51010.00,4078.57,42.86,2429.05,21,-75410.00,1.18,0.1872,0.05,0.4431,12.45,5,-19762.00,0.21,0.01,0.15,0.4073,2.14,135130.00,-84120.00,9,12,1,3,60470.00,-22270.00,15014.44,-7010.00,242,60,1.61
3604,48,7,51010.00,4078.57,42.86,2429.05,21,-75410.00,1.18,0.1872,0.05,0.4431,12.45,5,-19762.00,0.21,0.01,0.15,0.4073,2.14,135130.00,-84120.00,9,12,1,3,60470.00,-22270.00,15014.44,-7010.00,242,60,1.61
3605,49,7,51010.00,4078.57,42.86,2429.05,21,-75410.00,1.18,0.1872,0.05,0.4431,12.45,5,-19762.00,0.21,0.01,0.15,0.4073,2.14,135130.00,-84120.00,9,12,1,3,60470.00,-22270.00,15014.44,-7010.00,242,60,1.61
3606,50,7,51010.00,4078.57,42.86,2429.05,21,-75410.00,1.18,0.1872,0.05,0.4431,12.45,5,-19762.00,0.21,0.01,0.15,0.4073,2.14,135130.00,-84120.00,9,12,1,3,60470.00,-22270.00,15014.44,-7010.00,242,60,1.61
3607,51,7,51010.00,4078.57,42.86,2429.05,21,-75410.00,1.18,0.1872,0.05,0.4431,12.45,5,-19762.00,0.21,0.01,0.15,0.4073,2.14,135130.00,-84120.00,9,12,1,3,60470.00,-22270.00,15014.44,-7010.00,242,60,1.61
3608,52,7,51010.00,4078.57,42.86,2429.05,21,-75410.00,1.18,0.1872,0.05,0.4431,12.45,5,-19762.00,0.21,0.01,0.15,0.4073,2.14,135130.00,-84120.00,9,12,1,3,60470.00,-22270.00,15014.44,-7010.00,242,60,1.61
3609,11,1.2,50940.00,4072.97,37.80,200.55,254,-54800.00,2.20,0.0147,0.07,0.0032,0.20,5,-21438.00,0.19,0.01,0.11,0.1322,1.99,292100.00,-241160.00,96,158,4,11,23490.00,-6130.00,3042.71,-1526.33,14,5,1.21
3610,61,3.3,50920.00,4071.37,42.31,979.23,52,-39070.00,2.48,0.1781,0.10,0.7866,90.44,5,-15468.00,0.26,0.01,0.08,0.2955,2.11,143440.00,-92520.00,22,30,4,5,31590.00,-10270.00,6520.00,-3084.00,58,25,1.55
3611,73,1.1,50850.00,4065.77,40.00,406.80,125,-26540.00,4.50,0.0770,0.15,0.2751,72.38,5,-10908.00,0.37,0.01,0.05,0.3156,2.20,159160.00,-108310.00,50,75,4,12,23490.00,-5850.00,3183.20,-1444.13,13,4,1.47
