
20181203  AL | nATRExit: 4.5 | nPeriodBreak: 70 | nATR: 15

20090218  AL ：开多 | Bar序号：1
20180622  MA ：平多开空 | Bar序号：1603

20180702  MA ：平空开多 | Bar序号：1609

20180718  MA ：平多开空 | Bar序号：1621

20180725  MA ：平空开多 | Bar序号：1626

20180821  MA ：平多开多 | Bar序号：1645

20180904  MA ：平多开空 | Bar序号：1655

20181010  MA ：平空开多 | Bar序号：1675

20181023  MA ：平多开空 | Bar序号：1684

20181203  SR | nATRExit: 3.3 | nPeriodBreak: 23 | nATR: 15

20060120  SR ：开多 | Bar序号：1

20060209  SR ：平多 | Bar序号：10

20060302  SR ：开空 | Bar序号：25

20060512  SR ：开多 | Bar序号：71

20060522  SR ：平多 | Bar序号：77

20060602  SR ：开多 | Bar序号：86

20060616  SR ：平多开空 | Bar序号：96

20060920  SR ：平空开多 | Bar序号：164

20061207  SR ：平多开空 | Bar序号：215

20070206  SR ：平空开空 | Bar序号：255

20070226  SR ：平空开多 | Bar序号：264

20070402  SR ：平多 | Bar序号：289

20070410  SR ：开多 | Bar序号：295

20070419  SR ：平多开空 | Bar序号：302

20070726  SR ：平空 | Bar序号：367

20070731  SR ：开多 | Bar序号：370

20070820  SR ：平多 | Bar序号：384

20070918  SR ：开多 | Bar序号：405

20071105  SR ：平多 | Bar序号：434

20071107  SR ：开多 | Bar序号：436

20080117  SR ：平多开空 | Bar序号：485

20080214  SR ：平空 | Bar序号：500

20080215  SR ：开空 | Bar序号：501

20080220  SR ：平空开多 | Bar序号：504

20080310  SR ：平多 | Bar序号：517

20080318  SR ：开多 | Bar序号：523

20080423  SR ：平多开空 | Bar序号：548

20081020  SR ：平空 | Bar序号：667

20081024  SR ：开多 | Bar序号：671

20081226  SR ：平多开多 | Bar序号：716

20090722  SR ：平多开多 | Bar序号：853

20090908  SR ：平多 | Bar序号：887

20091016  SR ：开多 | Bar序号：909

20100111  SR ：平多 | Bar序号：969

20100118  SR ：开多 | Bar序号：974

20100316  SR ：平多开空 | Bar序号：1010

20100706  SR ：平空开空 | Bar序号：1083

20100729  SR ：平空开多 | Bar序号：1100

20101116  SR ：平多 | Bar序号：1169

20101220  SR ：开多 | Bar序号：1193

20110225  SR ：平多开空 | Bar序号：1236

20110607  SR ：平空开多 | Bar序号：1304

20110905  SR ：平多开空 | Bar序号：1368

20120106  SR ：平空 | Bar序号：1449

20120111  SR ：开多 | Bar序号：1452

20120420  SR ：平多 | Bar序号：1516

20120424  SR ：开空 | Bar序号：1518

20121204  SR ：平空开多 | Bar序号：1670

20130122  SR ：平多开空 | Bar序号：1702

20130813  SR ：平空开多 | Bar序号：1834

20130826  SR ：平多 | Bar序号：1843

20130909  SR ：开空 | Bar序号：1853

20131014  SR ：平空开多 | Bar序号：1871

20131119  SR ：平多开多 | Bar序号：1897

20131210  SR ：平多开空 | Bar序号：1912

20140214  SR ：平空 | Bar序号：1954

20140224  SR ：开多 | Bar序号：1960

20140325  SR ：平多开多 | Bar序号：1981

20140611  SR ：平多开多 | Bar序号：2033

20140708  SR ：平多开空 | Bar序号：2052

20140929  SR ：平空 | Bar序号：2110

20140930  SR ：开多 | Bar序号：2111

20141202  SR ：平多开多 | Bar序号：2151

20150310  SR ：平多开多 | Bar序号：2214

20150617  SR ：平多开多 | Bar序号：2283

20150709  SR ：平多开空 | Bar序号：2298

20150814  SR ：平空 | Bar序号：2323

20150911  SR ：开空 | Bar序号：2340

20151125  SR ：平空 | Bar序号：2388

20151127  SR ：开多 | Bar序号：2390

20160118  SR ：平多开多 | Bar序号：2425

20160503  SR ：平多开空 | Bar序号：2494

20160607  SR ：平空开空 | Bar序号：2517

20160701  SR ：平空开多 | Bar序号：2533

20160711  SR ：平多 | Bar序号：2539

20160729  SR ：开多 | Bar序号：2553

20161215  SR ：平多 | Bar序号：2645

20161221  SR ：开多 | Bar序号：2649

20170322  SR ：平多开空 | Bar序号：2708

20170816  SR ：平空开多 | Bar序号：2808

20170908  SR ：平多 | Bar序号：2825

20170911  SR ：开多 | Bar序号：2826

20171215  SR ：平多开多 | Bar序号：2889

20180122  SR ：平多开空 | Bar序号：2914

20180731  SR ：平空 | Bar序号：3040

20180807  SR ：开多 | Bar序号：3045

20180911  SR ：平多开多 | Bar序号：3070

20181121  SR ：平多开多 | Bar序号：3115

20181203  J | nATRExit: 1.4 | nPeriodBreak: 17 | nATR: 15

20110429  J ：开多 | Bar序号：1

20110506  J ：平多开多 | Bar序号：5

20110520  J ：平多 | Bar序号：15

20110607  J ：开多 | Bar序号：26

20110621  J ：平多开空 | Bar序号：36

20110707  J ：平空开空 | Bar序号：48

20110725  J ：开多 | Bar序号：60

20110809  J ：平多开空 | Bar序号：71

20110826  J ：平空 | Bar序号：84

20110923  J ：开空 | Bar序号：103

20111025  J ：平空 | Bar序号：120

20111114  J ：开多 | Bar序号：134

20111122  J ：平多 | Bar序号：140

20111213  J ：开多 | Bar序号：155

20120214  J ：平多 | Bar序号：193

