
20170921  沪铝1711 | nATRExit: 3.8 | nPeriodBreak: 17 | nATR: 15

20090218  沪铝1711 ：开多 | Bar序号：1
20071010  棉花1801 ：开多 | Bar序号：414

20141231  焦炭1801 ：平空 | Bar序号：893

20071026  棉花1801 ：平多开空 | Bar序号：426

20150306  焦炭1801 ：开空 | Bar序号：933

20071220  棉花1801 ：平空开多 | Bar序号：465

20080114  棉花1801 ：平多开空 | Bar序号：480

20150618  焦炭1801 ：开空 | Bar序号：1005

20080219  棉花1801 ：平空开多 | Bar序号：501

20150813  焦炭1801 ：平空 | Bar序号：1043

20080310  棉花1801 ：平多 | Bar序号：515

20150826  焦炭1801 ：开空 | Bar序号：1051

20080318  棉花1801 ：开空 | Bar序号：521

20151127  焦炭1801 ：平空 | Bar序号：1111

20080523  棉花1801 ：平空开多 | Bar序号：566

20151201  焦炭1801 ：开空 | Bar序号：1113

20080526  棉花1801 ：平多开空 | Bar序号：567

20151222  焦炭1801 ：平空 | Bar序号：1128

20080617  棉花1801 ：平空 | Bar序号：582

20160125  焦炭1801 ：开多 | Bar序号：1151

20080618  棉花1801 ：开多 | Bar序号：583

20160418  焦炭1801 ：平多 | Bar序号：1205

20080625  棉花1801 ：平多 | Bar序号：588

20160419  焦炭1801 ：开多 | Bar序号：1206

20080702  棉花1801 ：开空 | Bar序号：593

20160506  焦炭1801 ：平多 | Bar序号：1218

20080923  棉花1801 ：平空 | Bar序号：651

20160713  焦炭1801 ：开多 | Bar序号：1262

20081007  棉花1801 ：开空 | Bar序号：656

20160901  焦炭1801 ：平多 | Bar序号：1298

20081008  棉花1801 ：平空 | Bar序号：657

20160930  焦炭1801 ：开多 | Bar序号：1317

20081013  棉花1801 ：开空 | Bar序号：660

20161116  焦炭1801 ：平多 | Bar序号：1345

20081121  棉花1801 ：平空 | Bar序号：689

20161123  焦炭1801 ：开多 | Bar序号：1350

20081125  棉花1801 ：开多 | Bar序号：691

20161223  焦炭1801 ：平多 | Bar序号：1372

20161230  焦炭1801 ：开空 | Bar序号：1377

20090220  棉花1801 ：平多开空 | Bar序号：747

20170111  焦炭1801 ：平空 | Bar序号：1384

20090318  棉花1801 ：平空开多 | Bar序号：765

20170314  焦炭1801 ：开多 | Bar序号：1423

20170921  塑料1801 | nATRExit: 3 | nPeriodBreak: 15 | nATR: 15

20090522  棉花1801 ：平多开空 | Bar序号：810

20170411  焦炭1801 ：平多 | Bar序号：1441

20090106  塑料1801 ：开多 | Bar序号：1


20170505  焦炭1801 ：开空 | Bar序号：1458

20090615  棉花1801 ：开多 | Bar序号：824

20090202  塑料1801 ：开多 | Bar序号：15

20170615  焦炭1801 ：平空 | Bar序号：1485

20090818  棉花1801 ：平多 | Bar序号：870

20170626  焦炭1801 ：开多 | Bar序号：1492


20090820  棉花1801 ：开空 | Bar序号：872

20170905  焦炭1801 ：平多 | Bar序号：1543

20090915  棉花1801 ：平空开多 | Bar序号：890

20090320  塑料1801 ：平空开多 | Bar序号：49

20091130  棉花1801 ：平多 | Bar序号：938

20091229  棉花1801 ：开多 | Bar序号：959

20090828  塑料1801 ：平多开空 | Bar序号：160

20100108  棉花1801 ：平多 | Bar序号：966

20091012  塑料1801 ：平空 | Bar序号：185

20100114  棉花1801 ：开空 | Bar序号：970

20091013  塑料1801 ：开多 | Bar序号：186

20100223  棉花1801 ：平空开多 | Bar序号：993

20091130  塑料1801 ：平多 | Bar序号：220

20091208  塑料1801 ：开空 | Bar序号：226

20100510  棉花1801 ：平多 | Bar序号：1045

20100519  棉花1801 ：开多 | Bar序号：1052

20091225  塑料1801 ：平空开多 | Bar序号：239

20100526  棉花1801 ：平多 | Bar序号：1057

20100114  塑料1801 ：平多开空 | Bar序号：252

20100601  棉花1801 ：开空 | Bar序号：1061

20100610  棉花1801 ：平空 | Bar序号：1068
5

20100312  塑料1801 ：平多开空 | Bar序号：288

20100629  棉花1801 ：开多 | Bar序号：1077

20100407  塑料1801 ：平空开多 | Bar序号：305

20100712  棉花1801 ：平多开空 | Bar序号：1085

20100429  塑料1801 ：平多开空 | Bar序号：321

20100803  棉花1801 ：平空开多 | Bar序号：1101

20100726  塑料1801 ：平空开多 | Bar序号：379

20101115  棉花1801 ：平多 | Bar序号：1166

20101115  塑料1801 ：平多 | Bar序号：451

20101118  棉花1801 ：开空 | Bar序号：1169

20101116  塑料1801 ：开空 | Bar序号：452

20101215  棉花1801 ：平空开多 | Bar序号：1188

20110224  棉花1801 ：平多开空 | Bar序号：1233

20110705  塑料1801 ：平空开多 | Bar序号：607

20110302  棉花1801 ：平空 | Bar序号：1237

