2018/3/8,P1805,平多,NaN
2018/3/8,P1805,开空,11
2018/3/8,RB1805,开空,17
,,,
2018/3/9,TA1805,开空,31
2018/3/9,CU1805,开空,2
2018/3/9,Y1805,平多,NaN
2018/3/9,Y1805,开空,13
,,,
2018/3/13,c1805,(换合约),NaN
2018/3/13,c1807,(换合约),NaN
,,,
2018/3/15,CF1805,开空,14
,,,
2018/3/15,CF1805,开空,14
2018/3/15,SR1805,平空,NaN
,,,
2018/3/16,IF1803,(换合约),NaN
2018/3/16,IF1804,(换合约),NaN
,,,
2018/3/19,J1805,开空,2
2018/3/19,MA1805,开多,36
,,,
2018/3/20,M1805,(换合约),NaN
2018/3/20,M1809,(换合约),NaN
,,,
2018/3/20,M1809,开空,20
,,,
2018/3/23,MA1805,平多,NaN
2018/3/23,IF1804,平多,NaN
2018/3/23,IF1804,开空,0
2018/3/23,AU1806,平空,NaN
,,,
2018/3/26,P1805,(换合约),NaN
2018/3/26,P1809,(换合约),NaN
,,,
2018/3/26,Y1805,(换合约),NaN
2018/3/26,Y1809,(换合约),NaN
,,,
2018/3/28,CF1805,(换合约),NaN
2018/3/28,CF1809,(换合约),NaN
,,,
2018/3/28,AU1806,开多,6
,,,
2018/3/29,RB1805,(换合约),NaN
2018/3/29,RB1810,(换合约),NaN
,,,
2018/3/29,OI1805,(换合约),NaN
2018/3/29,OI1809,(换合约),NaN
,,,
2018/3/29,SR1805,开空,31
,,,
2018/3/30,C1807,(换合约),NaN
2018/3/30,C1809,(换合约),NaN
,,,
2018/3/30,TA1805,(换合约),NaN
2018/3/30,TA1809,(换合约),NaN
,,,
2018/3/30,RB1810,平空,NaN
2018/3/30,M1809,平空,NaN
2018/3/30,M1809,开多,17
,,,
2018/4/2,SR1805,(换合约),NaN
2018/4/2,SR1809,(换合约),NaN
,,,
2018/4/2,RU1805,(换合约),NaN
2018/4/2,RU1809,(换合约),NaN
,,,
2018/4/2,RM1805,(换合约),NaN
2018/4/2,RM1809,(换合约),NaN
,,,
2018/4/2,MA1805,开空,29
2018/4/2,Y1809,平空,NaN
2018/4/2,Y1809,开多,12
,,,
2018/4/3,I1805,(换合约),NaN
2018/4/3,I1809,(换合约),NaN
,,,
2018/4/9,a1805,(换合约),NaN
2018/4/9,a1809,(换合约),NaN
,,,
2018/4/9,zn1805,(换合约),NaN
2018/4/9,zn1806,(换合约),NaN
,,,
2018/4/10,J1805,(换合约),NaN
2018/4/10,J1809,(换合约),NaN
,,,
2018/4/10,L1805,(换合约),NaN
2018/4/10,L1809,(换合约),NaN
,,,
2018/4/10,AL1805,(换合约),NaN
2018/4/10,AL1806,(换合约),NaN
,,,
2018/4/10,V1805,(换合约),NaN
2018/4/10,V1809,(换合约),NaN
,,,
2018/4/10,J1809,平空,NaN
,,,
2018/4/10,J1809,平空,NaN
,,,
2018/4/10,J1809,平空,NaN
,,,
2018/4/11,FG1805,(换合约),NaN
2018/4/11,FG1809,(换合约),NaN
,,,
2018/4/11,JM1805,(换合约),NaN
2018/4/11,JM1809,(换合约),NaN
,,,
,,,
,,,
,,,
2018/4/12,CU1805,(换合约),NaN
2018/4/12,CU1806,(换合约),NaN
,,,
2018/4/12,MA1809,平空,NaN
,,,
2018/4/12,MA1809,平空,NaN
,,,
2018/4/12,MA1809,平空,NaN
,,,
2018/4/13,AL1806,平空,NaN
